t,v_pre,v_post,i,i_fast,i_slow
48,-0.569071,-1.52988,-0.650946,-0.00268996,-0.648256
48.6,-0.570563,-1.52928,-0.651226,-0.00267791,-0.648548
49.2,-0.615586,-1.5287,-0.651159,-0.00234094,-0.648818
49.8,-0.582068,-1.52809,-0.651684,-0.0025873,-0.649097
50.4,-0.600081,-1.52751,-0.651808,-0.00245172,-0.649356
51,-0.587575,-1.52691,-0.652147,-0.00254492,-0.649602
51.6,-0.623076,-1.52633,-0.652111,-0.00228882,-0.649822
52.2,-0.608079,-1.52574,-0.652432,-0.00239359,-0.650039
52.8,-0.614586,-1.52514,-0.652618,-0.00234744,-0.650271
53.4,-0.607079,-1.52455,-0.652884,-0.00240058,-0.650483
54,-0.60208,-1.52397,-0.653124,-0.00243661,-0.650687
54.6,-0.610587,-1.52338,-0.653277,-0.00237539,-0.650902
55.2,-0.611078,-1.52279,-0.653496,-0.00237182,-0.651124
55.8,-0.63209,-1.52221,-0.653537,-0.00222744,-0.65131
56.4,-0.637597,-1.52163,-0.65367,-0.00219102,-0.651479
57,-0.621093,-1.52105,-0.653965,-0.00230168,-0.651663
57.6,-0.627583,-1.52046,-0.654126,-0.0022574,-0.651868
58.2,-0.617077,-1.51988,-0.65436,-0.00232929,-0.65203
58.8,-0.630091,-1.51931,-0.654452,-0.0022404,-0.652212
59.4,-0.609587,-1.51871,-0.654813,-0.00238183,-0.652432
60,-0.648087,-1.51814,-0.654742,-0.00212295,-0.652619
60.6,-0.564056,-1.51753,-0.655581,-0.0027285,-0.652852
61.2,-0.567563,-1.51693,-0.655826,-0.00269998,-0.653127
61.8,-0.585068,-1.51635,-0.655944,-0.00256241,-0.653381
62.4,-0.616585,-1.51577,-0.655936,-0.00233213,-0.653604
63,-0.609079,-1.51518,-0.656214,-0.00238493,-0.653829
63.6,-0.576561,-1.51457,-0.656699,-0.00262804,-0.654071
64.2,-0.581577,-1.51398,-0.656904,-0.00258889,-0.654315
64.8,-0.559057,-1.51337,-0.657348,-0.00276882,-0.654579
65.4,-0.567563,-1.51278,-0.657536,-0.0026993,-0.654836
66,-0.529047,-1.51216,-0.658142,-0.00302799,-0.655114
66.6,-0.564564,-1.51156,-0.658126,-0.00272337,-0.655402
67.2,-0.558565,-1.51096,-0.658418,-0.00277248,-0.655645
67.8,-0.582068,-1.51037,-0.65846,-0.00258453,-0.655876
68.4,-0.571071,-1.50976,-0.658796,-0.0026707,-0.656125
69,-0.560565,-1.50915,-0.659116,-0.00275568,-0.65636
69.6,-0.57407,-1.50855,-0.659237,-0.0026467,-0.65659
70.2,-0.623584,-1.50797,-0.659044,-0.00228281,-0.656761
70.8,-0.583068,-1.50737,-0.65952,-0.00257636,-0.656943
71.4,-0.588067,-1.50677,-0.659679,-0.00253809,-0.657141
72,-0.598573,-1.50618,-0.659784,-0.00245961,-0.657325
72.6,-0.589575,-1.50557,-0.660068,-0.00252651,-0.657541
73.2,-0.599573,-1.50497,-0.660214,-0.0024521,-0.657762
73.8,-0.595082,-1.50437,-0.660434,-0.00248512,-0.657949
74.4,-0.559565,-1.50376,-0.660938,-0.00276301,-0.658175
75,-0.587067,-1.50317,-0.660923,-0.00254512,-0.658378
75.6,-0.592574,-1.50258,-0.661044,-0.00250353,-0.65854
76.2,-0.608571,-1.50199,-0.661071,-0.00238665,-0.658685
76.8,-0.608571,-1.5014,-0.66122,-0.00238656,-0.658834
77.4,-0.57407,-1.50079,-0.661653,-0.00264545,-0.659007
78,-0.577069,-1.50019,-0.661849,-0.00262177,-0.659227
78.6,-0.599573,-1.4996,-0.661865,-0.0024513,-0.659414
79.2,-0.562056,-1.49899,-0.662352,-0.00274175,-0.65961
79.8,-0.570071,-1.49839,-0.662478,-0.00267684,-0.659801
80.4,-0.580069,-1.49779,-0.662606,-0.00259802,-0.660008
81,-0.552058,-1.49717,-0.663056,-0.00282449,-0.660232
81.6,-0.550059,-1.49656,-0.663327,-0.00284128,-0.660486
82.2,-0.556058,-1.49595,-0.663516,-0.00279077,-0.660726
82.8,-0.573562,-1.49534,-0.663604,-0.00264859,-0.660955
83.4,-0.541061,-1.49473,-0.664074,-0.00291829,-0.661155
84,-0.54606,-1.49411,-0.664256,-0.00287497,-0.661381
84.6,-0.580069,-1.49352,-0.664186,-0.00259735,-0.661588
85.2,-0.566055,-1.4929,-0.664503,-0.00270821,-0.661795
85.8,-0.548551,-1.49227,-0.664887,-0.00285336,-0.662034
86.4,-0.527047,-1.49165,-0.665323,-0.00304232,-0.662281
87,-0.551059,-1.49103,-0.66537,-0.00283187,-0.662538
87.6,-0.561565,-1.49041,-0.665502,-0.00274435,-0.662758
88.2,-0.532046,-1.48978,-0.665977,-0.00299695,-0.66298
88.8,-0.556566,-1.48917,-0.665975,-0.00278539,-0.663189
89.4,-0.560057,-1.48854,-0.666157,-0.00275641,-0.6634
90,-0.57307,-1.48793,-0.666252,-0.00265129,-0.663601
90.6,-0.562056,-1.48731,-0.666515,-0.00273981,-0.663776
91.2,-0.586067,-1.4867,-0.666497,-0.00255019,-0.663947
91.8,-0.572562,-1.48608,-0.666755,-0.00265502,-0.6641
92.4,-0.581069,-1.48547,-0.666848,-0.00258834,-0.66426
93,-0.580577,-1.48485,-0.667011,-0.00259205,-0.664419
93.6,-0.607079,-1.48426,-0.666927,-0.00239473,-0.664532
94.2,-0.570071,-1.48363,-0.667362,-0.00267444,-0.664688
94.8,-0.590067,-1.48302,-0.667368,-0.00251935,-0.664848
95.4,-0.589067,-1.48241,-0.667505,-0.00252679,-0.664979
96,-0.60408,-1.48181,-0.667512,-0.00241592,-0.665096
96.6,-0.591574,-1.4812,-0.667711,-0.00250776,-0.665203
97.2,-0.587067,-1.48059,-0.667888,-0.00254164,-0.665346
97.8,-0.578561,-1.47999,-0.66807,-0.00260693,-0.665463
98.4,-0.584068,-1.47937,-0.668194,-0.00256432,-0.66563
99,-0.579069,-1.47876,-0.66841,-0.00260278,-0.665808
99.6,-0.586576,-1.47815,-0.668501,-0.002545,-0.665956
100.2,-0.542061,-1.47752,-0.66904,-0.00290656,-0.666133
100.8,-0.557565,-1.47691,-0.669081,-0.00277503,-0.666306
101.4,-0.596573,-1.47631,-0.668923,-0.00246987,-0.666453
102,-0.551059,-1.47568,-0.669457,-0.00282923,-0.666628
102.6,-0.55255,-1.47506,-0.669621,-0.00281656,-0.666804
103.2,-0.579577,-1.47445,-0.669545,-0.00259816,-0.666947
103.8,-0.565564,-1.47382,-0.669854,-0.00270905,-0.667145
104.4,-0.57307,-1.47321,-0.669961,-0.00264892,-0.667312
105,-0.550551,-1.47257,-0.670347,-0.00283299,-0.667514
105.6,-0.559565,-1.47195,-0.670453,-0.00275769,-0.667695
106.2,-0.547551,-1.47132,-0.670739,-0.00285825,-0.66788
106.8,-0.558565,-1.4707,-0.670831,-0.00276572,-0.668065
107.4,-0.558057,-1.47006,-0.671044,-0.00276981,-0.668274
108,-0.550059,-1.46943,-0.671302,-0.00283661,-0.668466
