param,mean,std
e_syn,-11.267495675567961,2.5638698564845597
g_fast,0.01865555648617782,0.01073700289406998
g_slow,0.13895675327494014,0.01620997729430493
k1,0.7212954767322162,0.38745662277365184
k2,0.5155779686929453,0.51642185276075
s_fast,3.8103726429261306,0.24018514376202968
s_slow,0.8059298143812954,0.1453111599268011
v_fast,1.64641713683659,0.232563203449832
v_slow,0.8398447630173127,0.8108576877447642
