t,v_pre,v_post,i,i_fast,i_slow
3.6,-0.585576,-1.52628,-0.5876,-5.99988e-05,-0.58754
3.648,-0.596573,-1.52569,-0.587901,-5.74636e-05,-0.587844
3.696,-0.594082,-1.52509,-0.588252,-5.80252e-05,-0.588194
3.744,-0.607571,-1.52449,-0.588607,-5.5033e-05,-0.588552
3.792,-0.561056,-1.52389,-0.589029,-6.60426e-05,-0.588962
3.84,-0.569071,-1.52328,-0.589435,-6.39963e-05,-0.589371
3.888,-0.570563,-1.52267,-0.589799,-6.36202e-05,-0.589735
3.936,-0.615586,-1.52206,-0.590089,-5.33205e-05,-0.590036
3.984,-0.582068,-1.52145,-0.590424,-6.08078e-05,-0.590363
4.032,-0.600081,-1.52084,-0.590691,-5.66581e-05,-0.590634
4.08,-0.587575,-1.52024,-0.590927,-5.95033e-05,-0.590868
4.128,-0.623076,-1.51963,-0.591079,-5.17677e-05,-0.591027
4.176,-0.608079,-1.51904,-0.591233,-5.49011e-05,-0.591178
4.224,-0.614586,-1.51843,-0.591432,-5.35155e-05,-0.591378
4.272,-0.607079,-1.51784,-0.591577,-5.51118e-05,-0.591521
4.32,-0.60208,-1.51725,-0.591698,-5.62004e-05,-0.591642
4.368,-0.610587,-1.51665,-0.591853,-5.43542e-05,-0.591799
4.416,-0.611078,-1.51606,-0.592033,-5.4247e-05,-0.591979
4.464,-0.63209,-1.51548,-0.592102,-4.9954e-05,-0.592052
4.512,-0.637597,-1.5149,-0.592132,-4.88846e-05,-0.592083
4.56,-0.621093,-1.51432,-0.592211,-5.21511e-05,-0.592159
4.608,-0.627583,-1.51375,-0.592351,-5.08382e-05,-0.5923
4.656,-0.617077,-1.51318,-0.592372,-5.29743e-05,-0.592319
4.704,-0.630091,-1.51261,-0.592447,-5.03365e-05,-0.592397
4.752,-0.609587,-1.51204,-0.592644,-5.45488e-05,-0.592589
4.8,-0.648087,-1.51147,-0.592736,-4.69024e-05,-0.592689
4.848,-0.564056,-1.5109,-0.59299,-6.5207e-05,-0.592925
4.896,-0.567563,-1.51032,-0.593349,-6.43134e-05,-0.593285
4.944,-0.585068,-1.50974,-0.593645,-6.00441e-05,-0.593585
4.992,-0.616585,-1.50916,-0.593845,-5.30606e-05,-0.593792
5.04,-0.609079,-1.50858,-0.59406,-5.46435e-05,-0.594005
5.088,-0.576561,-1.50799,-0.594335,-6.20728e-05,-0.594273
5.136,-0.581577,-1.50741,-0.59461,-6.08612e-05,-0.594549
5.184,-0.559057,-1.50682,-0.594948,-6.64776e-05,-0.594882
5.232,-0.567563,-1.50622,-0.595262,-6.42937e-05,-0.595197
5.28,-0.529047,-1.50562,-0.595647,-7.47731e-05,-0.595572
5.328,-0.564564,-1.50501,-0.596047,-6.50485e-05,-0.595982
5.376,-0.558565,-1.50441,-0.596319,-6.65939e-05,-0.596252
5.424,-0.582068,-1.50381,-0.596551,-6.07276e-05,-0.596491
5.472,-0.571071,-1.5032,-0.596848,-6.34011e-05,-0.596785
5.52,-0.560565,-1.50259,-0.597102,-6.60648e-05,-0.597036
5.568,-0.57407,-1.50198,-0.597338,-6.2654e-05,-0.597276
5.616,-0.623584,-1.50139,-0.597394,-5.15941e-05,-0.597342
5.664,-0.583068,-1.50079,-0.597504,-6.04763e-05,-0.597444
5.712,-0.588067,-1.5002,-0.597654,-5.92997e-05,-0.597594
5.76,-0.598573,-1.4996,-0.597762,-5.69036e-05,-0.597705
5.808,-0.589575,-1.49901,-0.597976,-5.89448e-05,-0.597917
5.856,-0.599573,-1.49841,-0.598198,-5.66759e-05,-0.598141
5.904,-0.595082,-1.49781,-0.598323,-5.76803e-05,-0.598265
5.952,-0.559565,-1.49721,-0.598576,-6.62976e-05,-0.59851
6,-0.587067,-1.49662,-0.598746,-5.95167e-05,-0.598686
6.048,-0.592574,-1.49603,-0.598801,-5.82425e-05,-0.598742
6.096,-0.608571,-1.49545,-0.598805,-5.46987e-05,-0.598751
6.144,-0.608571,-1.49487,-0.598831,-5.46963e-05,-0.598776
6.192,-0.57407,-1.49429,-0.598939,-6.26179e-05,-0.598876
6.24,-0.577069,-1.4937,-0.599179,-6.1883e-05,-0.599117
