timestamp,yaml_file,data_file,simulation_time,step,accumulated_distance
2026-01-28 19:25:07,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.0_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.0_k20.03.asc,2000,0.01,85266.1
2026-01-28 19:25:07,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,73841.8
2026-01-28 19:25:08,yaml_configs/config_gf0.3_gs0.1_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.1_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,83224.5
2026-01-28 19:25:09,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss10.0_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss10.0_Vs0_k11.5_k20.03.asc,2000,0.01,77451.5
2026-01-28 19:25:10,yaml_configs/config_gf0.3_gs0.3_sf5.0_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf5.0_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,73761.2
2026-01-28 19:25:10,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es0.0_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es0.0_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,48691.9
2026-01-28 19:25:11,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es-5.0_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es-5.0_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,24755.6
2026-01-28 19:25:12,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf-2.0_Es1_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf-2.0_Es1_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,78647
2026-01-28 19:25:13,yaml_configs/config_gf0.3_gs0.3_sf0.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf0.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,77856.8
2026-01-28 19:25:13,yaml_configs/config_gf0.3_gs0.001_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.001_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,85630.8
2026-01-28 19:25:14,yaml_configs/config_gf0.1_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.1_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,78464.4
2026-01-28 19:25:15,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs2.0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs2.0_k11.5_k20.03.asc,2000,0.01,51800.6
2026-01-28 19:25:16,yaml_configs/config_gf0.3_gs10.0_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs10.0_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,91555.7
2026-01-28 19:25:16,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0.0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0.0_k11.5_k20.03.asc,2000,0.01,73841.8
2026-01-28 19:25:17,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1.0_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1.0_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,73841.8
2026-01-28 19:25:18,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.05.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.05.asc,2000,0.01,97213.6
2026-01-28 19:25:18,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss100.0_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss100.0_Vs0_k11.5_k20.03.asc,2000,0.01,93711
2026-01-28 19:25:19,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs-1.0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs-1.0_k11.5_k20.03.asc,2000,0.01,55491.9
2026-01-28 19:25:20,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.001.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.001.asc,2000,0.01,65206.1
2026-01-28 19:25:21,yaml_configs/config_gf0.3_gs0.5_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.5_sf7.5_Vf0_Es1_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,81859.8
2026-01-28 19:25:22,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es-2.0_ss7.5_Vs0_k11.5_k20.03.yaml,yaml_configs/config_gf0.3_gs0.3_sf7.5_Vf0_Es-2.0_ss7.5_Vs0_k11.5_k20.03.asc,2000,0.01,19491.1
