t,f
1003.5600000000001,-0.8163731093086365
1003.57,-0.8161729327278998
1003.58,-0.8159723947243558
1003.59,-0.8157714944381274
1003.6,-0.815570231006535
1003.61,-0.815368603564085
1003.62,-0.8151666112424569
1003.63,-0.8149642531704924
1003.64,-0.8147615284741823
1003.65,-0.8145584362766557
1003.66,-0.8143549756981667
1003.6700000000001,-0.814151145856083
1003.6800000000001,-0.8139469458648729
1003.69,-0.8137423748360938
1003.7,-0.8135374318783793
1003.71,-0.8133321160974272
1003.72,-0.8131264265959859
1003.73,-0.812920362473843
1003.74,-0.8127139228278124
1003.75,-0.812507106751721
1003.76,-0.8122999133363963
1003.77,-0.8120923416696539
1003.78,-0.811884390836284
1003.7900000000001,-0.8116760599180386
1003.8000000000001,-0.8114673479936184
1003.8100000000001,-0.8112582541386598
1003.82,-0.8110487774257218
1003.83,-0.8108389169242722
1003.84,-0.8106286717006753
1003.85,-0.8104180408181771
1003.86,-0.810207023336893
1003.87,-0.8099956183137936
1003.88,-0.8097838248026916
1003.89,-0.8095716418542275
1003.9,-0.809359068515856
1003.91,-0.8091461038318327
1003.9200000000001,-0.808932746843199
1003.9300000000001,-0.8087189965877699
1003.94,-0.808504852100118
1003.95,-0.8082903124115608
1003.96,-0.8080753765501456
1003.97,-0.807860043540636
1003.98,-0.8076443124044962
1003.99,-0.8074281821598787
1004.0,-0.8072116518216071
1004.01,-0.806994720401164
1004.02,-0.8067773869066743
1004.03,-0.8065596503428921
1004.0400000000001,-0.8063415097111852
1004.0500000000001,-0.8061229640095192
1004.0600000000001,-0.8059040122324442
1004.07,-0.8056846533710783
1004.08,-0.8054648864130934
1004.09,-0.8052447103426995
1004.1,-0.8050241241406293
1004.11,-0.8048031267841231
1004.12,-0.804581717246913
1004.13,-0.8043598944992074
1004.14,-0.8041376575076755
1004.15,-0.8039150052354311
1004.16,-0.8036919366420175
1004.1700000000001,-0.8034684506833908
1004.1800000000001,-0.8032445463119043
1004.19,-0.8030202224762922
1004.2,-0.8027954781216537
1004.21,-0.8025703121894364
1004.22,-0.8023447236174204
1004.23,-0.8021187113397006
1004.24,-0.8018922742866718
1004.25,-0.8016654113850112
1004.26,-0.8014381215576615
1004.27,-0.8012104037238148
1004.28,-0.8009822567988945
1004.2900000000001,-0.8007536796945391
1004.3000000000001,-0.8005246713185856
1004.3100000000001,-0.8002952305750507
1004.32,-0.8000653563641155
1004.33,-0.7998350475821058
1004.34,-0.7996043031214769
1004.35,-0.7993731218707946
1004.36,-0.7991415027147175
1004.37,-0.7989094445339798
1004.38,-0.7986769462053734
1004.39,-0.7984440066017295
1004.4,-0.7982106245919001
1004.41,-0.7979767990407413
1004.4200000000001,-0.7977425288090937
1004.4300000000001,-0.7975078127537639
1004.44,-0.7972726497275072
1004.45,-0.7970370385790079
1004.46,-0.7968009781528607
1004.47,-0.7965644672895522
1004.48,-0.7963275048254423
1004.49,-0.7960900895927442
1004.5,-0.7958522204195062
1004.51,-0.7956138961295918
1004.52,-0.7953751155426605
1004.53,-0.7951358774741486
1004.5400000000001,-0.794896180735249
1004.5500000000001,-0.7946560241328927
1004.5600000000001,-0.7944154064697275
1004.57,-0.794174326544099
1004.58,-0.7939327831500302
1004.59,-0.7936907750772019
1004.6,-0.7934483011109315
1004.61,-0.7932053600321535
1004.62,-0.7929619506173983
1004.63,-0.7927180716387724
1004.64,-0.7924737218639367
1004.65,-0.7922289000560864
1004.66,-0.7919836049739294
1004.6700000000001,-0.791737835371666
1004.6800000000001,-0.7914915899989668
1004.69,-0.791244867600952
1004.7,-0.7909976669181696
1004.71,-0.7907499866865738
1004.72,-0.7905018256375037
1004.73,-0.7902531824976606
1004.74,-0.7900040559890871
1004.75,-0.7897544448291443
1004.76,-0.7895043477304893
1004.77,-0.7892537634010534
1004.78,-0.7890026905440197
1004.7900000000001,-0.7887511278578007
1004.8000000000001,-0.788499074036014
1004.8100000000001,-0.7882465277674614
1004.82,-0.7879934877361041
1004.83,-0.7877399526210409
1004.84,-0.7874859210964846
1004.85,-0.7872313918317378
1004.86,-0.7869763634911706
1004.87,-0.7867208347341956
1004.88,-0.7864648042152446
1004.89,-0.7862082705837449
1004.9,-0.7859512324840945
1004.91,-0.7856936885556389
1004.9200000000001,-0.7854356374326456
1004.9300000000001,-0.7851770777442796
1004.94,-0.7849180081145792
1004.95,-0.784658427162431
1004.96,-0.7843983335015446
1004.97,-0.784137725740428
1004.98,-0.7838766024823615
1004.99,-0.7836149623253728
1005.0,-0.7833528038622113
1005.01,-0.7830901256803223
1005.02,-0.7828269263618209
1005.03,-0.7825632044834661
1005.0400000000001,-0.7822989586166343
1005.0500000000001,-0.7820341873272937
1005.0600000000001,-0.781768889175976
1005.07,-0.7815030627177523
1005.08,-0.7812367065022037
1005.09,-0.7809698190733954
1005.1,-0.7807023989698495
1005.11,-0.780434444724518
1005.12,-0.7801659548647535
1005.13,-0.7798969279122843
1005.14,-0.779627362383184
1005.15,-0.7793572567878444
1005.16,-0.7790866096309478
1005.1700000000001,-0.7788154194114375
1005.1800000000001,-0.7785436846224907
1005.19,-0.7782714037514876
1005.2,-0.7779985752799852
1005.21,-0.7777251976836856
1005.22,-0.7774512694324085
1005.23,-0.777176788990061
1005.24,-0.7769017548146083
1005.25,-0.7766261653580433
1005.26,-0.7763500190663574
1005.27,-0.7760733143795094
1005.28,-0.775796049731396
1005.2900000000001,-0.7755182235498205
1005.3000000000001,-0.7752398342564625
1005.3100000000001,-0.774960880266847
1005.32,-0.7746813599903127
1005.33,-0.7744012718299816
1005.34,-0.7741206141827262
1005.35,-0.7738393854391389
1005.36,-0.7735575839834996
1005.37,-0.7732752081937435
1005.38,-0.772992256441429
1005.39,-0.7727087270917052
1005.4,-0.7724246185032789
1005.41,-0.7721399290283815
1005.4200000000001,-0.7718546570127363
1005.4300000000001,-0.771568800795525
1005.44,-0.7712823587093541
1005.45,-0.7709953290802214
1005.46,-0.7707077102274809
1005.47,-0.7704195004638099
1005.48,-0.7701306980951743
1005.49,-0.7698413014207933
1005.5,-0.7695513087331051
1005.51,-0.7692607183177311
1005.52,-0.768969528453442
1005.53,-0.7686777374121213
1005.5400000000001,-0.768385343458729
1005.5500000000001,-0.7680923448512665
1005.5600000000001,-0.7677987398407404
1005.57,-0.7675045266711251
1005.58,-0.7672097035793272
1005.59,-0.7669142687951478
1005.6,-0.7666182205412457
1005.61,-0.7663215570331005
1005.62,-0.7660242764789732
1005.63,-0.7657263770798705
1005.64,-0.7654278570295049
1005.65,-0.7651287145142576
1005.66,-0.7648289477131389
1005.6700000000001,-0.76452855479775
1005.6800000000001,-0.7642275339322432
1005.69,-0.7639258832732833
1005.7,-0.763623600970007
1005.71,-0.7633206851639841
1005.72,-0.7630171339891763
1005.73,-0.762712945571897
1005.74,-0.7624081180307715
1005.75,-0.7621026494766948
1005.76,-0.7617965380127909
1005.77,-0.7614897817343717
1005.78,-0.7611823787288939
1005.7900000000001,-0.760874327075919
1005.8000000000001,-0.7605656248470688
1005.8100000000001,-0.7602562701059843
1005.82,-0.7599462609082821
1005.83,-0.7596355953015114
1005.84,-0.7593242713251106
1005.85,-0.7590122870103634
1005.86,-0.7586996403803549
1005.87,-0.7583863294499271
1005.88,-0.7580723522256347
1005.89,-0.7577577067056993
1005.9,-0.7574423908799648
1005.91,-0.757126402729852
1005.9200000000001,-0.7568097402283117
1005.9300000000001,-0.7564924013397807
1005.94,-0.7561743840201325
1005.95,-0.7558556862166331
1005.96,-0.755536305867892
1005.97,-0.7552162409038161
1005.98,-0.7548954892455615
1005.99,-0.7545740488054847
1006.0,-0.7542519174870959
1006.01,-0.7539290931850086
1006.02,-0.7536055737848917
1006.03,-0.7532813571634195
1006.0400000000001,-0.752956441188222
1006.0500000000001,-0.7526308237178357
1006.0600000000001,-0.7523045026016519
1006.07,-0.751977475679867
1006.08,-0.7516497407834309
1006.09,-0.751321295733996
1006.1,-0.7509921383438652
1006.11,-0.7506622664159394
1006.12,-0.750331677743665
1006.13,-0.7500003701109823
1006.14,-0.7496683412922707
1006.15,-0.7493355890522959
1006.16,-0.7490021111461558
1006.1700000000001,-0.7486679053192259
1006.1800000000001,-0.7483329693071056
1006.19,-0.7479973008355617
1006.2,-0.7476608976204734
1006.21,-0.7473237573677771
1006.22,-0.7469858777734096
1006.23,-0.7466472565232515
1006.24,-0.7463078912930701
1006.25,-0.7459677797484623
1006.26,-0.7456269195447963
1006.27,-0.7452853083271533
1006.28,-0.7449429437302698
1006.2900000000001,-0.7445998233784773
1006.3000000000001,-0.7442559448856435
1006.3100000000001,-0.7439113058551126
1006.32,-0.7435659038796442
1006.33,-0.7432197365413531
1006.34,-0.7428728014116481
1006.35,-0.7425250960511702
1006.36,-0.7421766180097308
1006.37,-0.7418273648262487
